,t,c,producto,CantidadPedir
1273,10,7,13,0
1274,10,8,1,0
1275,10,8,2,0
1276,10,8,3,0
1277,10,8,4,0
1278,10,8,5,0
1279,10,8,6,0
1280,10,8,7,0
1281,10,8,8,0
1282,10,8,9,0
1283,10,8,10,0
1284,10,8,11,0
1285,10,8,12,0
1286,10,8,13,0
1287,10,9,1,0
1288,10,9,2,0
1289,10,9,3,0
1290,10,9,4,0
1291,10,9,5,0
1292,10,9,6,0
1293,10,9,7,0
1294,10,9,8,0
1295,10,9,9,0
1296,10,9,10,0
1297,10,9,11,0
1298,10,9,12,0
1299,10,9,13,0
1300,11,0,1,0
1301,11,0,2,0
1302,11,0,3,0
1303,11,0,4,0
1304,11,0,5,0
1305,11,0,6,0
1306,11,0,7,0
1307,11,0,8,0
1308,11,0,9,0
1309,11,0,10,0
1310,11,0,11,0
1311,11,0,12,0
1312,11,0,13,0
1313,11,1,1,0
1314,11,1,2,0
1315,11,1,3,0
1316,11,1,4,0
1317,11,1,5,0
1318,11,1,6,0
1319,11,1,7,0
1320,11,1,8,0
1321,11,1,9,0
1322,11,1,10,0
1323,11,1,11,0
1324,11,1,12,0
1325,11,1,13,0
1326,11,2,1,0
1327,11,2,2,0
1328,11,2,3,0
1329,11,2,4,0
1330,11,2,5,0
1331,11,2,6,0
1332,11,2,7,0
1333,11,2,8,0
1334,11,2,9,0
1335,11,2,10,0
1336,11,2,11,0
1337,11,2,12,0
1338,11,2,13,0
1339,11,3,1,4
1340,11,3,2,0
1341,11,3,3,0
1342,11,3,4,9
1343,11,3,5,7
1344,11,3,6,0
1345,11,3,7,4
1346,11,3,8,4
1347,11,3,9,0
1348,11,3,10,0
1349,11,3,11,6
1350,11,3,12,6
